1;HUMAN;Farm Boy;creature;;1;;;;;1;1;;;2;100001;COMMON
2;HUMAN;Hilltop Archer;creature;;4;;;;;2;2;{ranged_attack};;0;101000;COMMON
3;HUMAN;Syland Warrior;creature;;5;;;;;3;6;;;0;101000;COMMON
4;HUMAN;Syland Horsemaster;creature;;3;;;;;3;2;{gift} - Give a friendly creature {charge|3} this turn.;;0;101000;COMMON
9;HUMAN;Imperial Engineer;creature;;3;;;;;1;3;{gift} - Trigger all your production abilities.;;0;101000;RARE
10;HUMAN;Hold the Line!;event;;1;;;;;;;Add two 2/2 <b>Imperial Guards</b> with {taunt} to your hand.;;0;101000;COMMON
11;HUMAN;Walking Fortress;creature;;9;;;;;6;10;;;2;100003;COMMON
12;HUMAN;Steam Forge;structure;;1;;;;;;3;{production} - A random friendly creature gains +1/+0.;;2;100003;COMMON
13;HUMAN;Tax Collector;creature;;3;;;;;1;4;{combat} - Gain {faeria|1}.;;0;101000;COMMON
14;HUMAN;Healing Song;event;;4;;;;;;;Draw a card and gain 4 Life.;;0;101000;COMMON
15;HUMAN;Safeguard;event;;3;;;;;;;Give a creature {protection}.;;0;101000;COMMON
16;HUMAN;Imperial Guard;creature;;3;;;;;2;2;{taunt};;0;101000;COMMON
22;HUMAN;Freedom Fighter;creature;;5;;;;;3;3;{haste};;2;101000;COMMON
23;HUMAN;Campfire;event;;1;;;;;;;Give a creature +1/+1.;;2;100004;COMMON
24;HUMAN;Falcon Dive;event;;1;;;;;;;Deal 1 damage to a creature.;;2;100004;COMMON
29;HUMAN;Master Swordsman;creature;;3;;;;;2;3;Has +2/+0 during your turn.;;0;101000;EXCEPTIONAL
30;HUMAN;Prairie Yak;creature;;3;;;;;2;4;;;2;100001;COMMON
32;HUMAN;Yak Attack;event;;9;;;;;;;Summon three 2/2 <b>Angry Yaks</b> with {haste}.;;0;101000;RARE
33;HUMAN;Punishment;event;;3;;;;;;;Deal 2 damage to a creature. If it's a neutral creature, deal 5.;;0;101000;COMMON
34;HUMAN;Queen's Favorite;creature;;4;;;;;2;2;{protection};;0;101000;COMMON
35;HUMAN;Queen's Guard;creature;;6;;;;;3;6;"{taunt} {combat} - Gain {faeria|1}.";;2;101000;EXCEPTIONAL
36;HUMAN;Magda, Queen of Meroval;creature;;4;;;;;0;3;"Your Legends costs {faeria|2} less. {production} - Add a random Legend to your hand.";;0;101000;LEGENDARY
37;HUMAN;Court Jester;creature;;3;;;;;0;2;"{taunt} {gift} - A random creature in your hand gains +2/+2.";;2;101000;EXCEPTIONAL
38;HUMAN;King's Guard;creature;;6;;;;;3;6;"{taunt} {combat} - Draw a card.";;2;101000;EXCEPTIONAL
39;HUMAN;Unlikely Hero;creature;;2;;;;;1;2;The first time this creature fights another creature and survives, it gains +3/+3 and {charge|3}.;;0;101000;RARE
40;HUMAN;Magnus, King of Meroval;creature;;10;;;;;4;8;"{charge|3} {combat} - Draw a card, it costs {faeria|0}.";;0;101000;LEGENDARY
41;HUMAN;Plague Bearer;creature;;3;;;;;2;1;{last_words} - Deal 2 damage to ALL creatures.;;0;101000;EXCEPTIONAL
42;HUMAN;Siege Engine;creature;;7;;;;;3;6;"{ranged_attack} Whenever this creature attacks, it gains +1/+0 afterwards.";;0;101000;RARE
43;HUMAN;Sharra, Dragonslayer;creature;;7;;;;;6;3;Ignores all damage equal to 4 or more.;;0;101000;LEGENDARY
44;HUMAN;Famine;event;;2;;;;;;;Deal 1 damage to ALL creatures.;;0;101000;EXCEPTIONAL
45;HUMAN;Royal Judge;creature;;5;;;;;1;1;"{options|Draw a free Safeguard.|Draw a free Punishment.} Add a <b>Safeguard</b> to your hand. It costs {faeria|0}. Add a <b>Punishment</b> to your hand. It costs {faeria|0}.";;0;101000;RARE
46;HUMAN;Cartographer;creature;;3;;;;;1;1;{last_words} - Create a lake, a forest, a mountain and a desert at random.;;0;101000;RARE
47;HUMAN;Shimmering Statue;structure;;2;;;;;;4;"{taunt} {production} - You gain 1 life.";;0;101000;COMMON
48;HUMAN;Village Elder;creature;;2;;;;;1;1;{last_words} - Draw a card.;;0;101000;COMMON
49;HUMAN;Storyteller;creature;;3;;;;;2;2;{gift} - Each player draws 2 cards and gains 2 Life.;;0;101000;COMMON
50;HUMAN;Wandering Monk;creature;;4;;;;;1;5;Whenever you draw a card, gain +1/+0.;;0;101000;EXCEPTIONAL
51;HUMAN;Steamforge Enforcer;creature;;6;;;;;6;5;;;2;100003;COMMON
52;HUMAN;King's Faithful;creature;;5;;;;;4;1;{protection};;0;101000;RARE
53;HUMAN;Day of the Dragons;event;;12;;;;;;;Add the four <b>Dragons</b> to your hand. They cost {faeria|4} less.;;0;101000;LEGENDARY
54;HUMAN;Daring Adventurer;creature;;5;;;;;2;2;{gift} - Gain +2/+2 for each adjacent enemy creature.;;0;101000;RARE
55;HUMAN;Maceman;creature;;4;;;;;4;4;;;2;100002;COMMON
56;HUMAN;Baron Thulgar;creature;;6;;;;;4;5;{last_words} - Each player draws a card. They cost {faeria|0}.;;0;101000;LEGENDARY
57;HUMAN;Wisdom;event;;3;;;;;;;Draw 2 cards.;;0;101000;EXCEPTIONAL
58;HUMAN;War Yak;creature;;5;;;;;4;5;+2/+0 while your opponent has 10 life or less.;;2;100001;EXCEPTIONAL
59;HUMAN;Defender of the Homeland;creature;;3;;;;;2;4;"{taunt} Can only be summoned adjacent to you.";;0;101000;COMMON
60;HUMAN;Queen's Assassin;creature;;3;;;;;1;1;{deathtouch};;2;100004;COMMON
61;HUMAN;Hunted Outlaw;creature;;3;;;;;4;5;{last_words} - Your opponent draws a card and gains {faeria|2}.;;0;101000;RARE
62;HUMAN;Fortune Hunter;creature;;3;;;;;1;1;Whenever this creature gathers faeria, a random creature you control gains +1/+1.;;0;101000;RARE
63;HUMAN;Outland Ranger;creature;;3;;;;;3;2;{gift} - Add a <b>Campfire</b> to your hand.;;0;101000;EXCEPTIONAL
64;HUMAN;Outcast Tower;structure;;0;;;;;;2;"Faeria wells are empty. {production} - Deal 1 damage to this structure.";;0;101000;RARE
65;HUMAN;Rainforest Explorer;creature;;4;;;;;3;3;{gift} - Gain +1/+1 if you control 2 lakes. Gain +0/+2 if you control 2 forests.;;0;101000;EXCEPTIONAL
66;HUMAN;Caldera Explorer;creature;;4;;;;;3;3;{gift} - Gain +1/+1 if you control 2 lakes. Gain +2/+0 if you control 2 mountains.;;0;101000;EXCEPTIONAL
67;HUMAN;Oasis Explorer;creature;;4;;;;;3;3;{gift} - Gain +1/+1 if you control 2 lakes. Gain +1/+1 you control 2 deserts.;;0;101000;EXCEPTIONAL
